city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,umpire1,umpire2
Chandigarh,20-04-2012,CH Gayle,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,5,N,S Ravi,RJ Tucker
Chennai,21-04-2012,F du Plessis,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,7,N,Aleem Dar,BNJ Oxenford
Delhi,21-04-2012,SC Ganguly,Feroz Shah Kotla,0,Delhi Capitals,Pune Warriors,Delhi Capitals,field,Pune Warriors,runs,20,N,Asad Rauf,S Das
Mumbai,22-04-2012,SE Marsh,Wankhede Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,wickets,6,N,S Ravi,RJ Tucker
Cuttack,22-04-2012,B Lee,Barabati Stadium,0,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,5,N,BF Bowden,SK Tarapore
Jaipur,23-04-2012,AB de Villiers,Sawai Mansingh Stadium,0,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,runs,46,N,Asad Rauf,S Asnani
Pune,24-04-2012,V Sehwag,Subrata Roy Sahara Stadium,0,Pune Warriors,Delhi Capitals,Pune Warriors,bat,Delhi Capitals,wickets,8,N,S Ravi,RJ Tucker
Chandigarh,25-04-2012,AT Rayudu,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,wickets,4,N,Aleem Dar,BNJ Oxenford
Pune,26-04-2012,CL White,Subrata Roy Sahara Stadium,0,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,18,N,S Ravi,RJ Tucker
Delhi,27-04-2012,V Sehwag,Feroz Shah Kotla,0,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,runs,37,N,Aleem Dar,BNJ Oxenford
